departamento,cultivo,anio,periodo,area_sembrada,area_cosechada,produccion,rendimiento
amazonas,aji,2019,A,5.0,4.6,4.58,0.9956521739130436
amazonas,aji,2019,B,5.0,4.7,8.16,1.7361702127659575
amazonas,aji,2020,A,13.36,11.36,7.069999999999999,0.6223591549295775
amazonas,aji,2020,B,13.36,12.36,7.67,0.6205501618122977
amazonas,aji,2021,A,14.36,12.35,7.66,0.6202429149797571
amazonas,aji,2021,B,15.38,12.37,7.640000000000001,0.6176232821341957
amazonas,aji,2022,A,14.5,14.5,8.9,0.6137931034482759
amazonas,aji,2022,B,16.0,16.0,10.0,0.625
amazonas,aji,2023,A,14.6,14.6,9.0,0.6164383561643836
amazonas,aji,2023,B,16.1,16.1,10.1,0.6273291925465838
amazonas,aji,2024,A,16.5,16.5,10.1,0.6121212121212121
amazonas,aji,2024,B,15.5,15.3,7.76,0.5071895424836601
amazonas,arroz,2006,B,11.0,11.0,16.0,1.4545454545454546
amazonas,arroz,2007,B,35.0,34.0,19.0,0.5588235294117647
amazonas,arroz,2008,A,40.0,40.0,21.0,0.525
amazonas,arroz,2008,B,43.0,43.0,25.0,0.5813953488372093
amazonas,arroz,2009,B,120.0,110.0,55.0,0.5
amazonas,arroz,2010,A,45.0,37.0,19.0,0.5135135135135135
amazonas,arroz,2010,B,47.0,35.0,18.0,0.5142857142857142
amazonas,arroz,2011,A,38.0,33.0,17.0,0.5151515151515151
amazonas,arroz,2011,B,34.0,31.0,16.0,0.5161290322580645
amazonas,arroz,2012,B,21.0,14.0,14.0,1.0
amazonas,arroz,2015,A,16.0,14.0,25.0,1.7857142857142858
amazonas,arroz,2015,B,14.0,12.0,36.0,3.0
amazonas,arroz,2016,A,34.0,28.0,84.0,3.0
amazonas,arroz,2016,B,34.0,28.0,84.0,3.0
amazonas,arroz,2017,B,62.0,57.0,127.0,2.2280701754385963
amazonas,arroz,2020,A,5.0,3.0,4.64,1.5466666666666666
amazonas,arroz,2020,B,5.0,4.2,6.5,1.5476190476190474
amazonas,arroz,2021,A,2.0,1.5,2.33,1.5533333333333335
amazonas,arroz,2021,B,8.0,6.0,11.07,1.845
amazonas,arroz,2022,A,2.0,8.0,14.76,1.845
amazonas,arroz,2022,B,8.0,2.0,3.69,1.845
amazonas,arroz,2023,A,8.0,8.0,14.28,1.785
amazonas,arroz,2023,B,10.0,8.0,14.28,1.785
amazonas,arroz,2024,A,5.0,10.0,8.0,0.8
amazonas,arroz,2024,B,8.0,5.0,3.75,0.75
amazonas,batata,2007,B,3.0,3.0,5.0,1.6666666666666667
amazonas,batata,2008,A,4.0,4.0,6.0,1.5
amazonas,batata,2008,B,4.0,4.0,6.0,1.5
amazonas,batata,2016,A,60.0,60.0,60.0,1.0
amazonas,batata,2020,A,4.0,2.8,4.2,1.5000000000000002
amazonas,batata,2020,B,4.0,3.0,4.5,1.5
amazonas,batata,2021,A,3.0,2.0,3.5,1.75
amazonas,batata,2021,B,2.0,1.0,2.0,2.0
amazonas,batata,2022,A,3.0,3.0,5.25,1.75
amazonas,batata,2022,B,2.0,2.0,4.0,2.0
amazonas,batata,2023,A,3.0,3.0,5.25,1.75
amazonas,batata,2023,B,2.0,2.0,4.0,2.0
amazonas,batata,2024,A,3.0,3.0,5.25,1.75
amazonas,batata,2024,B,2.0,2.0,4.0,2.0
amazonas,cebolla de bulbo,2019,A,1.5,1.5,30.0,20.0
amazonas,cebolla de bulbo,2020,A,8.0,5.5,46.75,8.5
amazonas,cebolla de bulbo,2020,B,12.0,10.6,90.1,8.5
amazonas,cebolla de rama,2007,B,42.0,42.0,43.0,1.0238095238095237
amazonas,cebolla de rama,2008,A,50.0,50.0,51.0,1.02
amazonas,cebolla de rama,2008,B,32.0,32.0,33.0,1.03125
amazonas,cebolla de rama,2010,A,6.0,5.0,4.0,0.8
amazonas,cebolla de rama,2010,B,6.0,6.0,5.0,0.8333333333333334
amazonas,cebolla de rama,2021,A,7.0,6.0,48.0,8.0
amazonas,cebolla de rama,2021,B,10.0,8.0,64.0,8.0
amazonas,cebolla de rama,2022,A,7.0,7.0,56.0,8.0
amazonas,cebolla de rama,2022,B,10.0,10.0,80.0,8.0
amazonas,cebolla de rama,2023,A,7.0,7.0,56.0,8.0
amazonas,cebolla de rama,2023,B,10.0,10.0,80.0,8.0
amazonas,cebolla de rama,2024,A,7.0,7.0,56.0,8.0
amazonas,cebolla de rama,2024,B,6.0,6.0,48.0,8.0
amazonas,cilantro,2007,B,31.0,31.0,32.0,1.032258064516129
amazonas,cilantro,2008,A,39.0,39.0,40.0,1.0256410256410255
amazonas,cilantro,2008,B,39.0,39.0,40.0,1.0256410256410255
amazonas,cilantro,2010,A,20.0,16.0,8.0,0.5
amazonas,cilantro,2010,B,25.0,24.0,13.0,0.5416666666666666
amazonas,cilantro,2011,A,23.0,20.0,10.0,0.5
amazonas,cilantro,2011,B,23.0,21.0,12.0,0.5714285714285714
amazonas,cilantro,2012,B,19.0,10.0,30.0,3.0
amazonas,cilantro,2013,A,4.0,2.0,6.0,3.0
amazonas,cilantro,2013,B,4.0,3.0,9.0,3.0
amazonas,cilantro,2014,A,23.0,19.0,10.0,0.5263157894736842
amazonas,cilantro,2014,B,16.0,14.0,8.0,0.5714285714285714
amazonas,cilantro,2015,A,11.0,7.0,4.0,0.5714285714285714
amazonas,cilantro,2015,B,9.0,7.0,3.0,0.42857142857142855
amazonas,cilantro,2016,A,3.0,3.0,3.0,1.0
amazonas,cilantro,2016,B,2.0,2.0,2.0,1.0
amazonas,cilantro,2017,A,1.0,1.0,5.0,5.0
amazonas,cilantro,2018,A,2.0,2.0,12.0,6.0
amazonas,cilantro,2019,A,19.0,18.6,99.52,5.350537634408601
amazonas,cilantro,2019,B,10.0,9.6,62.52,6.5125
amazonas,cilantro,2020,A,17.6,15.1,8.040000000000001,0.5324503311258278
amazonas,cilantro,2020,B,24.0,22.2,13.879999999999999,0.6252252252252252
amazonas,cilantro,2021,A,19.6,17.5,98.25,5.614285714285714
amazonas,cilantro,2021,B,29.0,25.8,137.7,5.337209302325581
amazonas,cilantro,2022,A,19.8,19.5,110.25,5.653846153846154
amazonas,cilantro,2022,B,30.0,30.0,157.5,5.25
amazonas,cilantro,2023,A,19.9,19.8,110.7,5.590909090909091
amazonas,cilantro,2023,B,30.4,30.4,158.1,5.2006578947368425
amazonas,cilantro,2024,A,23.0,23.0,124.5,5.413043478260869
amazonas,cilantro,2024,B,26.0,26.0,150.9,5.803846153846154
amazonas,cimarron,2013,A,10.0,9.0,5.0,0.5555555555555556
amazonas,cimarron,2013,B,6.0,5.0,3.0,0.6
amazonas,cimarron,2020,A,5.0,4.0,2.4,0.6
amazonas,cimarron,2020,B,10.0,8.5,5.1,0.6
amazonas,cimarron,2021,A,8.0,7.0,4.2,0.6
amazonas,cimarron,2021,B,12.0,11.0,6.6,0.6
amazonas,cimarron,2022,A,8.0,8.0,4.8,0.6
amazonas,cimarron,2022,B,12.0,12.0,7.2,0.6
amazonas,cimarron,2023,A,8.0,8.0,6.4,0.8
amazonas,cimarron,2023,B,12.0,12.0,8.4,0.7000000000000001
amazonas,cimarron,2024,A,8.0,8.0,6.4,0.8
amazonas,cimarron,2024,B,13.0,13.0,9.1,0.7
amazonas,curcuma,2007,B,4.0,4.0,5.0,1.25
amazonas,curcuma,2008,A,5.0,5.0,6.0,1.2
amazonas,curcuma,2008,B,5.0,5.0,6.0,1.2
amazonas,frijol,2007,B,16.0,16.0,12.0,0.75
amazonas,frijol,2008,A,20.0,20.0,16.0,0.8
amazonas,frijol,2008,B,21.0,21.0,16.0,0.7619047619047619
amazonas,frijol,2017,A,1.0,1.0,1.0,1.0
amazonas,frijol,2017,B,4.0,3.0,2.0,0.6666666666666666
amazonas,frijol,2018,A,5.0,5.0,4.0,0.8
amazonas,frijol,2019,A,2.0,1.5,1.05,0.7000000000000001
amazonas,frijol,2019,B,3.0,2.5,2.25,0.9
amazonas,frijol,2020,A,6.0,3.0,2.1,0.7000000000000001
amazonas,frijol,2020,B,9.0,7.7,5.79,0.7519480519480519
amazonas,frijol,2021,A,8.0,7.0,4.9,0.7000000000000001
amazonas,frijol,2021,B,11.0,9.0,8.4,0.9333333333333333
amazonas,frijol,2022,A,8.0,10.0,9.0,0.9
amazonas,frijol,2022,B,10.0,8.0,7.2,0.9
amazonas,frijol,2023,A,8.0,10.0,9.0,0.9
amazonas,frijol,2023,B,10.0,8.0,7.2,0.9
amazonas,frijol,2024,A,8.0,10.0,9.0,0.9
amazonas,frijol,2024,B,8.0,8.0,5.6,0.7
amazonas,habichuela,2007,B,3.0,3.0,1.0,0.3333333333333333
amazonas,habichuela,2008,A,3.0,3.0,1.0,0.3333333333333333
amazonas,habichuela,2008,B,3.0,3.0,1.0,0.3333333333333333
amazonas,habichuela,2015,A,1.0,0.0,0.0,0.0
amazonas,hortalizas varias,2013,A,15.0,13.0,9.0,0.6923076923076923
amazonas,hortalizas varias,2013,B,11.0,9.0,6.0,0.6666666666666666
amazonas,hortalizas varias,2014,A,30.0,27.0,19.0,0.7037037037037037
amazonas,hortalizas varias,2014,B,16.0,12.0,8.0,0.6666666666666666
amazonas,hortalizas varias,2015,A,20.0,19.0,13.0,0.6842105263157895
amazonas,hortalizas varias,2016,A,22.0,19.0,19.0,1.0
amazonas,jengibre,2007,B,2.0,2.0,1.0,0.5
amazonas,jengibre,2008,A,3.0,3.0,2.0,0.6666666666666666
amazonas,jengibre,2008,B,3.0,3.0,2.0,0.6666666666666666
amazonas,jengibre,2019,A,0.5,0.5,0.5,1.0
amazonas,jengibre,2020,A,6.0,4.5,2.84,0.6311111111111111
amazonas,jengibre,2020,B,9.0,8.0,4.8,0.6
amazonas,jengibre,2021,A,8.0,7.0,4.2,0.6
amazonas,jengibre,2021,B,11.0,10.0,10.0,1.0
amazonas,jengibre,2022,A,8.0,11.0,11.0,1.0
amazonas,jengibre,2022,B,11.0,8.0,8.0,1.0
amazonas,jengibre,2023,A,9.0,11.0,11.0,1.0
amazonas,jengibre,2023,B,11.0,9.0,9.0,1.0
amazonas,jengibre,2024,A,7.0,11.0,11.0,1.0
amazonas,jengibre,2024,B,10.0,7.0,7.0,1.0
amazonas,lechuga,2020,B,15.0,11.0,121.0,11.0
amazonas,lechuga,2021,B,15.0,13.0,130.0,10.0
amazonas,lechuga,2022,B,15.0,15.0,150.0,10.0
amazonas,lechuga,2023,B,15.0,15.0,150.0,10.0
amazonas,lechuga,2024,B,10.0,10.0,80.0,8.0
amazonas,maiz,2006,B,204.0,203.0,468.0,2.3054187192118225
amazonas,maiz,2007,A,267.0,260.0,652.0,2.5076923076923077
amazonas,maiz,2007,B,348.0,345.0,855.0,2.4782608695652173
amazonas,maiz,2008,A,407.0,407.0,1018.0,2.501228501228501
amazonas,maiz,2008,B,415.0,414.0,1027.0,2.4806763285024154
amazonas,maiz,2009,B,493.0,479.0,719.0,1.501043841336117
amazonas,maiz,2010,A,240.0,200.0,300.0,1.5
amazonas,maiz,2010,B,340.0,300.0,450.0,1.5
amazonas,maiz,2011,A,250.0,220.0,330.0,1.5
amazonas,maiz,2011,B,240.0,225.0,338.0,1.5022222222222221
amazonas,maiz,2012,B,165.0,120.0,180.0,1.5
amazonas,maiz,2013,A,65.0,50.0,75.0,1.5
amazonas,maiz,2013,B,110.0,95.0,143.0,1.5052631578947369
amazonas,maiz,2014,A,80.0,72.0,109.0,1.5138888888888888
amazonas,maiz,2014,B,50.0,46.0,70.0,1.5217391304347827
amazonas,maiz,2015,A,80.0,74.0,87.0,1.1756756756756757
amazonas,maiz,2015,B,30.0,25.0,50.0,2.0
amazonas,maiz,2016,A,80.0,79.0,119.0,1.5063291139240507
amazonas,maiz,2016,B,30.0,30.0,54.0,1.8
amazonas,maiz,2017,A,7.0,6.0,6.0,1.0
amazonas,maiz,2017,B,62.0,52.0,30.0,0.5769230769230769
amazonas,maiz,2018,A,10.0,10.0,10.0,1.0
amazonas,maiz,2019,A,125.0,101.0,178.65,1.7688118811881188
amazonas,maiz,2019,B,105.0,97.0,188.68,1.9451546391752579
amazonas,maiz,2020,A,145.0,142.0,285.3,2.009154929577465
amazonas,maiz,2020,B,94.0,85.0,187.1,2.2011764705882353
amazonas,maiz,2021,A,137.0,123.0,139.65,1.1353658536585367
amazonas,maiz,2021,B,93.0,86.0,85.53,0.9945348837209302
amazonas,maiz,2022,A,145.0,131.0,144.63,1.1040458015267176
amazonas,maiz,2022,B,103.0,103.0,102.57,0.9958252427184465
amazonas,maiz,2023,A,147.9,142.5,158.93,1.1152982456140352
amazonas,maiz,2023,B,103.0,103.0,102.47,0.9948543689320388
amazonas,maiz,2024,A,116.0,114.0,104.42999999999999,0.9160526315789473
amazonas,maiz,2024,B,96.0,85.0,54.32,0.6390588235294118
amazonas,mani,2007,B,6.0,6.0,5.0,0.8333333333333334
amazonas,mani,2008,A,7.0,7.0,5.0,0.7142857142857143
amazonas,mani,2008,B,7.0,7.0,6.0,0.8571428571428571
amazonas,melon,2020,A,5.0,3.0,31.5,10.5
amazonas,melon,2020,B,10.0,8.0,84.0,10.5
amazonas,melon,2021,A,7.0,4.0,42.0,10.5
amazonas,melon,2021,B,10.0,8.8,79.2,9.0
amazonas,melon,2022,A,7.0,10.0,792.0,79.2
amazonas,melon,2022,B,10.0,7.0,63.0,9.0
amazonas,melon,2023,A,7.0,10.0,90.0,9.0
amazonas,melon,2023,B,10.0,7.0,63.0,9.0
amazonas,melon,2024,A,7.0,10.0,90.0,9.0
amazonas,melon,2024,B,10.0,7.0,63.0,9.0
amazonas,name,2020,A,6.0,2.0,3.2,1.6
amazonas,name,2020,B,6.0,4.9,7.84,1.5999999999999999
amazonas,name,2021,A,6.0,5.0,8.75,1.75
amazonas,name,2021,B,5.0,4.0,8.0,2.0
amazonas,name,2022,A,6.0,6.0,10.5,1.75
amazonas,name,2022,B,5.0,5.0,10.0,2.0
amazonas,name,2023,A,6.0,6.0,10.5,1.75
amazonas,name,2023,B,5.0,5.0,10.0,2.0
amazonas,name,2024,A,6.0,11.0,22.0,2.0
amazonas,name,2024,B,3.0,0.0,0.0,0.0
amazonas,patilla,2007,B,14.0,14.0,53.0,3.7857142857142856
amazonas,patilla,2008,A,23.0,23.0,86.0,3.739130434782609
amazonas,patilla,2008,B,23.0,23.0,86.0,3.739130434782609
amazonas,patilla,2016,A,1.0,1.0,0.4,0.4
amazonas,patilla,2016,B,1.0,1.0,1.0,1.0
amazonas,patilla,2019,B,4.0,3.2,11.84,3.6999999999999997
amazonas,patilla,2020,A,8.0,3.0,11.1,3.6999999999999997
amazonas,patilla,2020,B,15.0,13.2,48.84,3.7000000000000006
amazonas,patilla,2021,A,11.0,10.0,37.0,3.7
amazonas,patilla,2021,B,17.0,14.0,51.8,3.6999999999999997
amazonas,patilla,2022,A,11.0,17.0,62.9,3.6999999999999997
amazonas,patilla,2022,B,12.0,11.0,40.7,3.7
amazonas,patilla,2023,A,11.0,12.0,45.6,3.8000000000000003
amazonas,patilla,2023,B,12.0,11.0,40.7,3.7
amazonas,patilla,2024,A,13.0,12.0,48.0,4.0
amazonas,patilla,2024,B,12.0,13.0,48.1,3.7
amazonas,pepino cohombro,2007,B,23.0,23.0,58.0,2.5217391304347827
amazonas,pepino cohombro,2008,A,35.0,35.0,88.0,2.5142857142857142
amazonas,pepino cohombro,2008,B,35.0,35.0,88.0,2.5142857142857142
amazonas,pepino cohombro,2009,B,9.0,8.0,7.0,0.875
amazonas,pepino cohombro,2015,A,2.0,2.0,4.0,2.0
amazonas,pepino cohombro,2015,B,1.0,1.0,1.0,1.0
amazonas,pepino cohombro,2016,A,2.0,2.0,2.0,1.0
amazonas,pepino cohombro,2016,B,2.0,2.0,2.0,1.0
amazonas,pepino cohombro,2017,A,1.0,1.0,1.0,1.0
amazonas,pepino cohombro,2018,A,1.0,1.0,2.0,2.0
amazonas,pepino cohombro,2019,A,4.0,3.5,7.0,2.0
amazonas,pepino cohombro,2019,B,6.0,5.5,57.0,10.363636363636363
amazonas,pepino cohombro,2020,A,9.5,5.5,10.15,1.8454545454545455
amazonas,pepino cohombro,2020,B,13.5,11.5,25.15,2.1869565217391305
amazonas,pepino cohombro,2021,A,11.5,9.5,33.5,3.526315789473684
amazonas,pepino cohombro,2021,B,13.4,11.4,26.4,2.31578947368421
amazonas,pepino cohombro,2022,A,12.5,12.0,42.0,3.5
amazonas,pepino cohombro,2022,B,14.0,14.0,32.0,2.2857142857142856
amazonas,pepino cohombro,2023,A,12.4,12.4,42.4,3.419354838709677
amazonas,pepino cohombro,2023,B,14.2,14.2,48.02,3.381690140845071
amazonas,pepino cohombro,2024,A,12.5,12.5,42.5,3.4
amazonas,pepino cohombro,2024,B,13.0,12.5,40.75,3.26
amazonas,pimenton,2007,B,49.0,49.0,121.0,2.4693877551020407
amazonas,pimenton,2008,A,63.0,63.0,156.0,2.4761904761904763
amazonas,pimenton,2008,B,62.0,62.0,153.0,2.467741935483871
amazonas,pimenton,2009,B,13.0,12.0,9.0,0.75
amazonas,pimenton,2010,A,13.0,13.0,10.0,0.7692307692307693
amazonas,pimenton,2010,B,13.0,13.0,10.0,0.7692307692307693
amazonas,pimenton,2011,A,15.0,14.0,10.0,0.7142857142857143
amazonas,pimenton,2011,B,15.0,13.0,9.0,0.6923076923076923
amazonas,pimenton,2012,B,13.0,10.0,7.0,0.7
amazonas,pimenton,2016,A,2.0,2.0,3.0,1.5
amazonas,pimenton,2016,B,2.0,2.0,2.0,1.0
amazonas,pimenton,2017,B,2.0,2.0,1.0,0.5
amazonas,pimenton,2019,A,9.0,8.0,10.799999999999999,1.3499999999999999
amazonas,pimenton,2019,B,10.0,8.8,12.879999999999999,1.4636363636363634
amazonas,pimenton,2020,A,9.0,6.0,13.1,2.183333333333333
amazonas,pimenton,2020,B,11.0,9.3,20.69,2.224731182795699
amazonas,pimenton,2021,A,9.0,8.0,17.700000000000003,2.2125000000000004
amazonas,pimenton,2021,B,13.2,12.2,32.72,2.681967213114754
amazonas,pimenton,2022,A,10.0,10.0,21.599999999999998,2.1599999999999997
amazonas,pimenton,2022,B,14.0,14.0,36.6,2.6142857142857143
amazonas,pimenton,2023,A,10.0,10.0,21.599999999999998,2.1599999999999997
amazonas,pimenton,2023,B,14.1,14.1,34.35,2.4361702127659575
amazonas,pimenton,2024,A,12.5,12.5,27.0,2.16
amazonas,pimenton,2024,B,14.0,13.5,33.45,2.477777777777778
amazonas,plantas aromaticas,2020,A,10.0,5.0,6.0,1.2
amazonas,plantas aromaticas,2020,B,12.0,11.0,11.0,1.0
amazonas,tomate,2007,B,43.0,43.0,108.0,2.511627906976744
amazonas,tomate,2008,A,56.0,56.0,141.0,2.517857142857143
amazonas,tomate,2008,B,57.0,57.0,144.0,2.526315789473684
amazonas,tomate,2009,B,8.0,7.0,5.0,0.7142857142857143
amazonas,tomate,2015,A,3.0,2.0,2.0,1.0
amazonas,tomate,2015,B,9.0,6.0,6.0,1.0
amazonas,tomate,2016,A,1.0,1.0,1.0,1.0
amazonas,tomate,2016,B,1.0,1.0,1.0,1.0
amazonas,tomate,2020,A,10.0,6.0,13.8,2.3000000000000003
amazonas,tomate,2020,B,13.0,12.0,27.6,2.3000000000000003
amazonas,tomate,2021,A,8.0,7.0,21.0,3.0
amazonas,tomate,2021,B,14.0,12.0,36.0,3.0
amazonas,tomate,2022,A,8.0,8.0,24.0,3.0
amazonas,tomate,2022,B,12.0,12.0,36.0,3.0
amazonas,tomate,2023,A,8.0,8.0,24.0,3.0
amazonas,tomate,2023,B,12.0,12.0,36.0,3.0
amazonas,tomate,2024,A,6.0,6.0,18.0,3.0
amazonas,tomate,2024,B,7.0,7.0,21.0,3.0
amazonas,yuca,2019,A,1760.0,1458.0,9677.2,6.637311385459534
amazonas,yuca,2020,A,1932.0,1480.0,10566.0,7.139189189189189
amazonas,yuca,2021,A,1083.0,988.0,14635.0,14.812753036437247
amazonas,yuca,2022,A,1080.0,0.0,0.0,0.0
amazonas,yuca,2022,B,1080.0,1080.0,9210.0,8.527777777777779
amazonas,yuca,2023,A,1082.0,0.0,0.0,0.0
amazonas,yuca,2023,B,1082.0,1082.0,9228.0,8.528650646950092
amazonas,yuca,2024,A,1140.0,0.0,0.0,0.0
amazonas,yuca,2024,B,1140.0,1140.0,9660.0,8.473684210526315
antioquia,acelga,2016,A,11.0,11.0,297.0,27.0
antioquia,acelga,2016,B,11.0,11.0,297.0,27.0
antioquia,acelga,2017,A,9.0,9.0,243.0,27.0
antioquia,acelga,2017,B,15.0,15.0,422.0,28.133333333333333
antioquia,acelga,2018,A,10.0,10.0,277.0,27.7
antioquia,acelga,2019,A,4.0,3.5,92.75,26.5
antioquia,acelga,2019,B,4.0,3.5,92.75,26.5
antioquia,acelga,2020,A,5.0,4.5,119.25,26.5
antioquia,acelga,2020,B,6.0,5.5,145.75,26.5
antioquia,acelga,2021,A,5.0,4.5,119.25,26.5
antioquia,acelga,2021,B,5.0,4.5,119.25,26.5
antioquia,acelga,2022,A,3.0,2.5,66.25,26.5
antioquia,acelga,2022,B,6.0,6.0,134.5,22.416666666666668
antioquia,acelga,2023,A,3.0,3.0,75.0,25.0
antioquia,acelga,2023,B,4.0,3.5,87.5,25.0
antioquia,acelga,2024,A,3.5,3.0,75.0,25.0
antioquia,acelga,2024,B,4.53,4.52,112.51,24.891592920353986
antioquia,ahuyama,2006,B,60.0,60.0,600.0,10.0
antioquia,ahuyama,2007,A,50.0,50.0,500.0,10.0
antioquia,ahuyama,2007,B,80.0,80.0,800.0,10.0
antioquia,ahuyama,2008,A,80.0,80.0,800.0,10.0
antioquia,ahuyama,2008,B,80.0,80.0,800.0,10.0
antioquia,ahuyama,2009,A,60.0,60.0,600.0,10.0
antioquia,ahuyama,2009,B,30.0,30.0,300.0,10.0
antioquia,ahuyama,2010,A,33.0,33.0,330.0,10.0
antioquia,ahuyama,2010,B,36.0,36.0,360.0,10.0
antioquia,ahuyama,2011,A,35.0,35.0,390.0,11.142857142857142
antioquia,ahuyama,2011,B,35.0,35.0,390.0,11.142857142857142
antioquia,ahuyama,2012,A,36.0,36.0,432.0,12.0
antioquia,ahuyama,2012,B,36.0,36.0,432.0,12.0
antioquia,ahuyama,2013,A,45.0,45.0,540.0,12.0
antioquia,ahuyama,2013,B,50.0,50.0,600.0,12.0
antioquia,ahuyama,2014,A,94.0,92.0,1109.0,12.054347826086957
antioquia,ahuyama,2014,B,97.0,96.0,1082.0,11.270833333333334
antioquia,ahuyama,2015,A,80.0,79.0,986.0,12.481012658227849
antioquia,ahuyama,2015,B,85.0,85.0,1020.0,12.0
antioquia,ahuyama,2016,A,85.0,84.0,1056.0,12.571428571428571
antioquia,ahuyama,2016,B,80.0,80.0,960.0,12.0
antioquia,ahuyama,2017,A,90.0,89.0,1116.0,12.539325842696629
antioquia,ahuyama,2017,B,75.0,75.0,900.0,12.0
antioquia,ahuyama,2018,A,100.0,100.0,1200.0,12.0
antioquia,ahuyama,2019,A,107.0,107.0,1386.0,12.953271028037383
antioquia,ahuyama,2019,B,103.0,102.0,1224.0,12.0
antioquia,ahuyama,2020,A,141.0,139.0,1657.5,11.924460431654676
antioquia,ahuyama,2020,B,106.0,105.5,1255.5,11.90047393364929
antioquia,ahuyama,2021,A,247.0,247.0,2389.0,9.672064777327936
antioquia,ahuyama,2021,B,189.0,187.0,1790.0,9.572192513368984
antioquia,ahuyama,2022,A,186.2,184.2,2236.8,12.143322475570034
antioquia,ahuyama,2022,B,91.0,89.0,987.6,11.096629213483146
antioquia,ahuyama,2023,A,46.7,74.7,536.95,7.188085676037484
antioquia,ahuyama,2023,B,72.5,72.5,864.0,11.917241379310346
antioquia,ahuyama,2024,A,35.75,33.54,436.68,13.019677996422184
antioquia,ahuyama,2024,B,49.4,14.4,61.8,4.291666666666666
antioquia,aji,2007,B,63.0,40.0,126.0,3.15
antioquia,aji,2008,A,4.0,4.0,19.0,4.75
antioquia,aji,2008,B,55.0,49.0,152.0,3.1020408163265305
antioquia,aji,2009,A,54.0,50.0,188.0,3.76
antioquia,aji,2009,B,111.0,83.0,282.0,3.397590361445783
antioquia,aji,2010,A,59.0,59.0,269.0,4.559322033898305
antioquia,aji,2010,B,8.0,4.0,48.6,12.15
antioquia,aji,2011,A,52.0,52.0,244.0,4.6923076923076925
antioquia,aji,2011,B,15.0,14.0,35.0,2.5
antioquia,aji,2012,A,53.0,48.0,149.0,3.1041666666666665
antioquia,aji,2012,B,22.0,20.0,70.0,3.5
antioquia,aji,2013,A,34.0,34.0,136.0,4.0
antioquia,aji,2013,B,7.0,7.0,64.0,9.142857142857142
antioquia,aji,2014,A,37.0,25.0,380.0,15.2
antioquia,aji,2014,B,4.0,4.0,53.0,13.25
antioquia,aji,2015,A,18.0,16.0,250.0,15.625
antioquia,aji,2015,B,4.0,4.0,56.0,14.0
antioquia,aji,2016,A,4.0,4.0,39.0,9.75
antioquia,aji,2016,B,4.0,4.0,42.0,10.5
antioquia,aji,2017,A,54.0,35.0,589.0,16.82857142857143
antioquia,aji,2017,B,13.0,13.0,175.0,13.461538461538462
antioquia,aji,2018,A,58.0,58.0,975.0,16.810344827586206
antioquia,aji,2019,A,40.0,39.0,343.0,8.794871794871796
antioquia,aji,2019,B,23.0,23.0,38.0,1.6521739130434783
antioquia,aji,2020,A,47.1,46.1,72.76,1.5783080260303688
